lon,lat,title
35.0718676,32.8098903,"iJump חיפה כניסת ילדים
https://freefit.co.il/CLUBS/?CLUB=25747"
34.7538932,31.7294468,"profit באר טוביה
https://freefit.co.il/CLUBS/?CLUB=23576"
37.3262501,31.3913948,"ONLINE סטודיו B
https://freefit.co.il/CLUBS/?CLUB=29501"
35.6590261,33.2394208,"Gil & Yoga
https://freefit.co.il/CLUBS/?CLUB=29611"
34.8873652,32.1073543,"iJump כניסת ילדים פתח תקווה
https://freefit.co.il/CLUBS/?CLUB=25748"
34.8170739,32.086465,"AIFIT אימון פונקציונלי, חדר כושר, קרוספי
https://freefit.co.il/CLUBS/?CLUB=25726"
34.5593316,31.6678988,"Icon Fitness  אשקלון סיטי
https://freefit.co.il/CLUBS/?CLUB=29438"
35.0921242,32.6090915,"The Buttons- אימוני רכיבה שטח/הרים יקנעם
https://freefit.co.il/CLUBS/?CLUB=29634"
34.8797829,32.061267,"זומבה עם חבי ONLINE
https://freefit.co.il/CLUBS/?CLUB=29376"
34.77763,32.0617724,"Romano box
https://freefit.co.il/CLUBS/?CLUB=29641"
34.7085129,31.7907494,"Pulse גן יבנה
https://freefit.co.il/CLUBS/?CLUB=28980"
34.7921795,31.9308819,"גו אקטיב - נס ציונה
https://freefit.co.il/CLUBS/?CLUB=85"
35.1466914,32.7594752,"נופשית מרכז ספורט ופנאי
https://freefit.co.il/CLUBS/?CLUB=27910"
34.7875183,32.1136403,"AGS סטודיו לאיומנים פונקציונליים
https://freefit.co.il/CLUBS/?CLUB=29346"
34.7735516,31.6038054,"RED Studio
https://freefit.co.il/CLUBS/?CLUB=29374"
34.89237,32.17368,"Profit כפר סבא
https://freefit.co.il/CLUBS/?CLUB=19426"
34.7716297,32.0825776,"תוואי מורה ליוגה ONLINE
https://freefit.co.il/CLUBS/?CLUB=29553"
34.9459759,32.2875177,"רותם ספורט
https://freefit.co.il/CLUBS/?CLUB=28997"
34.7774391,32.0806044,"inBali Pilates
https://freefit.co.il/CLUBS/?CLUB=29647"
34.7760972,32.0622798,"Vertical Fitness - TLV
https://freefit.co.il/CLUBS/?CLUB=29211"
34.7661002,31.9874657,"iJump ראשון לציון
https://freefit.co.il/CLUBS/?CLUB=25742"
35.081476,32.8217109,"שגית פילאטיס, קריית ביאליק
https://freefit.co.il/CLUBS/?CLUB=29027"
34.7997569,31.2341921,"IcePeaks- אייסיטי ב""ש
https://freefit.co.il/CLUBS/?CLUB=29253"
34.818534,31.9619366,"בריכה ומועדון ספורט נווה הדרים
https://freefit.co.il/CLUBS/?CLUB=23503"
35.294094,32.6036197,"Icon Fitness עפולה
https://freefit.co.il/CLUBS/?CLUB=23615"
34.7792276,32.0858996,"RPB Fitness Base
https://freefit.co.il/CLUBS/?CLUB=27887"
35.5520596,32.9696565,"פילאטיס סטודיו צפון
https://freefit.co.il/CLUBS/?CLUB=25703"
34.7890127,32.1134818,"Fitness Factory TLV
https://freefit.co.il/CLUBS/?CLUB=29098"
34.7699129,32.0828601,"Pilates sunset with Chen
https://freefit.co.il/CLUBS/?CLUB=29432"
34.9198553,32.0256726,"XtriM-אימוני שחיה וריצה בני עטרות
https://freefit.co.il/CLUBS/?CLUB=27828"
34.8033151,32.1783572,"שרנא ספא
https://freefit.co.il/CLUBS/?CLUB=27801"
34.8498486,32.3194633,"YOGAS - בית היוגה בנתניה
https://freefit.co.il/CLUBS/?CLUB=25754"
34.7677912,32.0625447,"דנה קפלנסקי - פיטנס בוטיק
https://freefit.co.il/CLUBS/?CLUB=29214"
34.7856607,32.098271,"BootCamp TLV‏
https://freefit.co.il/CLUBS/?CLUB=25678"
34.6426436,31.7946633,"Icon Fitness  אשדוד
https://freefit.co.il/CLUBS/?CLUB=24620"
34.8005498,31.8974826,"Beast מתקן אימוני אקסטרים
https://freefit.co.il/CLUBS/?CLUB=29159"
34.8464528,32.1786549,"ארבל קבוצות ריצה
https://freefit.co.il/CLUBS/?CLUB=29171"
